"","movie_name","movie_year","movie_rating","movie_duration","movie_genre"
"1","Jai Bhim","(2021)","9.3","164 min","
Crime, Drama, Mystery            "
"2","The Shawshank Redemption","(1994)","9.3","142 min","
Drama            "
"3","The Godfather","(1972)","9.2","175 min","
Crime, Drama            "
"4","The Dark Knight","(2008)","9.0","152 min","
Action, Crime, Drama            "
"5","The Godfather: Part II","(1974)","9.0","202 min","
Crime, Drama            "
"6","12 Angry Men","(1957)","9.0","96 min","
Crime, Drama            "
"7","The Lord of the Rings: The Return of the King","(2003)","8.9","201 min","
Action, Adventure, Drama            "
"8","Pulp Fiction","(1994)","8.9","154 min","
Crime, Drama            "
"9","Schindler's List","(1993)","8.9","195 min","
Biography, Drama, History            "
"10","Inception","(2010)","8.8","148 min","
Action, Adventure, Sci-Fi            "
"11","Fight Club","(1999)","8.8","139 min","
Drama            "
"12","The Lord of the Rings: The Fellowship of the Ring","(2001)","8.8","178 min","
Action, Adventure, Drama            "
"13","Forrest Gump","(1994)","8.8","142 min","
Drama, Romance            "
"14","Il buono, il brutto, il cattivo","(1966)","8.8","161 min","
Adventure, Western            "
"15","Spider-Man: No Way Home","(2021)","8.7","148 min","
Action, Adventure, Fantasy            "
"16","The Lord of the Rings: The Two Towers","(2002)","8.7","179 min","
Action, Adventure, Drama            "
"17","The Matrix","(1999)","8.7","136 min","
Action, Sci-Fi            "
"18","Goodfellas","(1990)","8.7","146 min","
Biography, Crime, Drama            "
"19","Star Wars: Episode V - The Empire Strikes Back","(1980)","8.7","124 min","
Action, Adventure, Fantasy            "
"20","One Flew Over the Cuckoo's Nest","(1975)","8.7","133 min","
Drama            "
"21","Gisaengchung","(2019)","8.6","132 min","
Comedy, Drama, Thriller            "
"22","Interstellar","(2014)","8.6","169 min","
Adventure, Drama, Sci-Fi            "
"23","Cidade de Deus","(2002)","8.6","130 min","
Crime, Drama            "
"24","Sen to Chihiro no kamikakushi","(2001)","8.6","125 min","
Animation, Adventure, Family            "
"25","Saving Private Ryan","(1998)","8.6","169 min","
Drama, War            "
"26","The Green Mile","(1999)","8.6","189 min","
Crime, Drama, Fantasy            "
"27","La vita è bella","(1997)","8.6","116 min","
Comedy, Drama, Romance            "
"28","Se7en","(1995)","8.6","127 min","
Crime, Drama, Mystery            "
"29","The Silence of the Lambs","(1991)","8.6","118 min","
Crime, Drama, Thriller            "
"30","Star Wars","(1977)","8.6","121 min","
Action, Adventure, Fantasy            "
"31","Seppuku","(1962)","8.6","133 min","
Action, Drama, Mystery            "
"32","Shichinin no samurai","(1954)","8.6","207 min","
Action, Drama            "
"33","It's a Wonderful Life","(1946)","8.6","130 min","
Comedy, Drama, Family            "
"34","Whiplash","(2014)","8.5","106 min","
Drama, Music            "
"35","The Intouchables","(2011)","8.5","112 min","
Biography, Comedy, Drama            "
"36","The Prestige","(2006)","8.5","130 min","
Drama, Mystery, Thriller            "
"37","The Departed","(2006)","8.5","151 min","
Crime, Drama, Thriller            "
"38","The Pianist","(2002)","8.5","150 min","
Biography, Drama, Music            "
"39","Gladiator","(2000)","8.5","155 min","
Action, Adventure, Drama            "
"40","American History X","(1998)","8.5","119 min","
Drama            "
"41","The Usual Suspects","(1995)","8.5","106 min","
Crime, Drama, Mystery            "
"42","Léon","(1994)","8.5","110 min","
Action, Crime, Drama            "
"43","The Lion King","(1994)","8.5","88 min","
Animation, Adventure, Drama            "
"44","Terminator 2: Judgment Day","(1991)","8.5","137 min","
Action, Sci-Fi            "
"45","Nuovo Cinema Paradiso","(1988)","8.5","155 min","
Drama, Romance            "
"46","Hotaru no haka","(1988)","8.5","89 min","
Animation, Drama, War            "
"47","Back to the Future","(1985)","8.5","116 min","
Adventure, Comedy, Sci-Fi            "
"48","Once Upon a Time in the West","(1968)","8.5","165 min","
Western            "
"49","Psycho","(1960)","8.5","109 min","
Horror, Mystery, Thriller            "
"50","Rear Window","(1954)","8.5","112 min","
Mystery, Thriller            "
